
05/08	NaN	      Nifty 50	      10715.50	      10757.90	      10758.55	      10689.40	      10717.80	           2.3
05/09	NaN	      Nifty 50	      10717.80	      10693.35	      10766.25	      10689.85	      10741.70	          23.9
05/10	NaN	      Nifty 50	      10741.70	      10779.65	      10785.55	      10705.00	      10716.55	        -25.15
05/11	NaN	      Nifty 50	      10716.55	      10741.95	      10812.05	      10724.45	      10806.50	         89.95
05/14	NaN	      Nifty 50	      10806.50	      10815.15	      10834.85	      10774.75	      10806.60	           0.1
05/15	NaN	      Nifty 50	      10806.60	      10812.60	      10929.20	      10781.40	      10801.85	         -4.75
05/16	NaN	      Nifty 50	      10801.85	      10751.95	      10790.45	      10699.70	      10741.10	        -60.75
05/17	NaN	      Nifty 50	      10741.10	      10775.60	      10777.25	      10664.50	      10682.70	         -58.4
05/18	NaN	      Nifty 50	      10682.70	      10671.85	      10674.95	      10589.10	      10596.40	         -86.3
05/21	NaN	      Nifty 50	      10596.40	      10616.70	      10621.70	      10505.80	      10516.70	         -79.7
05/22	NaN	      Nifty 50	      10516.70	      10518.45	      10558.60	      10490.55	      10536.70	            20
05/23	NaN	      Nifty 50	      10536.70	      10521.10	      10533.55	      10417.80	      10430.35	       -106.35
05/24	NaN	      Nifty 50	      10430.35	      10464.85	      10535.15	      10419.80	      10513.85	          83.5
05/25	NaN	      Nifty 50	      10513.85	      10533.05	      10628.05	      10524.00	      10605.15	          91.3
05/28	NaN	      Nifty 50	      10605.15	      10648.35	      10709.80	      10640.55	      10688.65	          83.5
05/29	NaN	      Nifty 50	      10688.65	      10689.40	      10717.25	      10616.10	      10633.30	        -55.35
05/30	NaN	      Nifty 50	      10633.30	      10579.00	      10648.70	      10558.45	      10614.35	        -18.95
05/31	NaN	      Nifty 50	      10614.35	      10670.10	      10763.80	      10620.40	      10736.15	         121.8
06/01	NaN	      Nifty 50	      10736.15	      10738.45	      10764.75	      10681.50	      10696.20	        -39.95
06/04	NaN	      Nifty 50	      10696.20	      10765.95	      10770.30	      10618.35	      10628.50	         -67.7
06/05	NaN	      Nifty 50	      10628.50	      10630.70	      10633.15	      10550.90	      10593.15	        -35.35
06/06	NaN	      Nifty 50	      10593.15	      10603.45	      10698.35	      10587.50	      10684.65	          91.5
06/07	NaN	      Nifty 50	      10684.65	      10722.60	      10818.00	      10722.60	      10768.35	          83.7
06/08	NaN	      Nifty 50	      10768.35	      10736.40	      10779.45	      10709.05	      10767.65	          -0.7
06/11	NaN	      Nifty 50	      10767.65	      10781.85	      10850.55	      10777.05	      10786.95	          19.3
06/12	NaN	      Nifty 50	      10786.95	      10816.15	      10856.55	      10789.40	      10842.85	          55.9
06/13	NaN	      Nifty 50	      10842.85	      10887.50	      10893.25	      10842.65	      10856.70	         13.85
06/14	NaN	      Nifty 50	      10856.70	      10832.90	      10833.70	      10773.55	      10808.05	        -48.65
06/15	NaN	      Nifty 50	      10808.05	      10808.65	      10834.00	      10755.40	      10817.70	          9.65
06/18	NaN	      Nifty 50	      10817.70	      10830.20	      10830.20	      10787.35	      10799.85	        -17.85
06/19	NaN	      Nifty 50	      10799.85	      10789.45	      10789.45	      10701.20	      10710.45	         -89.4
06/20	NaN	      Nifty 50	      10710.45	      10734.65	      10781.80	      10724.05	      10772.05	          61.6
06/21	NaN	      Nifty 50	      10772.05	      10808.45	      10809.60	      10725.90	      10741.10	        -30.95
06/22	NaN	      Nifty 50	      10741.10	      10742.70	      10837.00	      10710.45	      10821.85	         80.75
06/25	NaN	      Nifty 50	      10821.85	      10822.90	      10831.05	      10753.05	      10762.45	         -59.4
06/26	NaN	      Nifty 50	      10762.45	      10742.70	      10805.25	      10732.55	      10769.15	           6.7
06/27	NaN	      Nifty 50	      10769.15	      10785.50	      10785.50	      10652.40	      10671.40	        -97.75
06/28	NaN	      Nifty 50	      10671.40	      10660.80	      10674.20	      10557.70	      10589.10	         -82.3
06/29	NaN	      Nifty 50	      10589.10	      10612.85	      10723.05	      10612.35	      10714.30	         125.2
07/02	NaN	      Nifty 50	      10714.30	      10732.35	      10736.15	      10604.65	      10657.30	           -57
07/03	NaN	      Nifty 50	      10657.30	      10668.60	      10713.30	      10630.25	      10699.90	          42.6
07/04	NaN	      Nifty 50	      10699.90	      10715.00	      10777.15	      10677.75	      10769.90	            70
07/05	NaN	      Nifty 50	      10769.90	      10786.05	      10786.05	      10726.25	      10749.75	        -20.15
07/06	NaN	      Nifty 50	      10749.75	      10744.15	      10816.35	      10735.05	      10772.65	          22.9
07/09	NaN	      Nifty 50	      10772.65	      10838.30	      10860.35	      10807.15	      10852.90	         80.25
07/10	NaN	      Nifty 50	      10852.90	      10902.75	      10956.90	      10876.65	      10947.25	         94.35
07/11	NaN	      Nifty 50	      10947.25	      10956.40	      10976.65	      10923.00	      10948.30	          1.05
07/12	NaN	      Nifty 50	      10948.30	      11006.95	      11078.30	      10999.65	      11023.20	          74.9
07/13	NaN	      Nifty 50	      11023.20	      11056.90	      11071.35	      10999.75	      11018.90	          -4.3
07/16	NaN	      Nifty 50	      11018.90	      11018.95	      11019.50	      10926.25	      10936.85	        -82.05
07/17	NaN	      Nifty 50	      10936.85	      10939.65	      11018.50	      10925.60	      11008.05	          71.2
07/18	NaN	      Nifty 50	      11008.05	      11060.20	      11076.20	      10956.30	      10980.45	         -27.6
07/19	NaN	      Nifty 50	      10980.45	      10999.50	      11006.50	      10935.45	      10957.10	        -23.35
07/20	NaN	      Nifty 50	      10957.10	      10963.50	      11030.25	      10946.20	      11010.20	          53.1
07/23	NaN	      Nifty 50	      11010.20	      11019.85	      11093.40	      11010.95	      11084.75	         74.55
07/24	NaN	      Nifty 50	      11084.75	      11109.00	      11143.40	      11092.50	      11134.30	         49.55
07/25	NaN	      Nifty 50	      11134.30	      11148.40	      11157.15	      11113.25	      11132.00	          -2.3
07/26	NaN	      Nifty 50	      11132.00	      11132.95	      11185.85	      11125.70	      11167.30	          35.3
07/27	NaN	      Nifty 50	      11167.30	      11232.75	      11283.40	      11210.25	      11278.35	        111.05
07/30	NaN	      Nifty 50	      11278.35	      11296.65	      11328.10	      11261.45	      11319.55	          41.2
07/31	NaN	      Nifty 50	      11319.55	      11311.05	      11366.00	      11267.75	      11356.50	         36.95
08/01	NaN	      Nifty 50	      11356.50	      11359.80	      11390.55	      11313.55	      11346.20	         -10.3
08/02	NaN	      Nifty 50	      11346.20	      11328.90	      11328.90	      11234.95	      11244.70	        -101.5
08/03	NaN	      Nifty 50	      11244.70	      11297.80	      11368.00	      11294.55	      11360.80	         116.1
08/06	NaN	      Nifty 50	      11360.80	      11401.50	      11427.65	      11370.60	      11387.10	          26.3
08/07	NaN	      Nifty 50	      11387.10	      11423.15	      11428.95	      11359.70	      11389.45	          2.35
08/08	NaN	      Nifty 50	      11389.45	      11412.50	      11459.95	      11379.30	      11450.00	         60.55
08/09	NaN	      Nifty 50	      11450.00	      11493.25	      11495.20	      11454.10	      11470.70	          20.7
08/10	NaN	      Nifty 50	      11470.70	      11474.95	      11478.75	      11419.65	      11429.50	         -41.2
08/13	NaN	      Nifty 50	      11429.50	      11369.60	      11406.30	      11340.30	      11355.75	        -73.75
08/14	NaN	      Nifty 50	      11355.75	      11381.70	      11452.45	      11370.80	      11435.10	         79.35
08/16	NaN	      Nifty 50	      11435.10	      11397.15	      11449.85	      11366.25	      11385.05	        -50.05
08/17	NaN	      Nifty 50	      11385.05	      11437.15	      11486.45	      11431.80	      11470.75	          85.7
08/20	NaN	      Nifty 50	      11470.75	      11502.10	      11565.30	      11499.65	      11551.75	            81
