
10/22	NTPC	            EQ	        164.85	        161.45	          2.11

10/23	HINDPETRO	            EQ	        217.90	        210.60	          3.47
10/23	IBULHSGFIN	            EQ	        734.65	        713.15	          3.01
10/23	HDFC	            EQ	       1686.75	       1658.30	          1.72
10/23	INDUSINDBK	            EQ	       1473.15	       1449.45	          1.64
10/23	BAJAJ-AUTO	            EQ	       2586.50	       2556.90	          1.16

10/24	BAJFINANCE	            EQ	       2311.80	       2083.35	         10.97
10/24	BHARTIARTL	            EQ	        315.85	        285.90	         10.48
10/24	HINDPETRO	            EQ	        232.75	        217.90	          6.82
10/24	IOC	            EQ	        137.55	        130.00	          5.81
10/24	HINDALCO	            EQ	        229.85	        219.50	          4.72

10/25	WIPRO	            EQ	        318.55	        308.80	          3.16
10/25	HCLTECH	            EQ	       1004.85	        980.70	          2.46
10/25	IOC	            EQ	        140.10	        137.55	          1.85
10/25	COALINDIA	            EQ	        282.20	        277.25	          1.79
10/25	ASIANPAINT	            EQ	       1200.05	       1186.90	          1.11

10/26	UPL	            EQ	        622.70	        599.45	          3.88
10/26	TITAN	            EQ	        806.90	        791.25	          1.98
10/26	TATAMOTORS	            EQ	        168.50	        165.35	          1.91
10/26	BAJAJ-AUTO	            EQ	       2513.75	       2477.55	          1.46
10/26	RELIANCE	            EQ	       1044.90	       1030.80	          1.37

10/29	IBULHSGFIN	            EQ	        771.55	        683.90	         12.82
10/29	ICICIBANK	            EQ	        349.40	        315.65	         10.69
10/29	SBIN	            EQ	        267.90	        248.10	          7.98
10/29	ADANIPORTS	            EQ	        326.40	        304.10	          7.33
10/29	AXISBANK	            EQ	        566.70	        537.70	          5.39

10/30	TECHM	            EQ	        685.10	        664.25	          3.14
10/30	ZEEL	            EQ	        444.45	        431.30	          3.05
10/30	GRASIM	            EQ	        804.75	        782.45	          2.85
10/30	HINDUNILVR	            EQ	       1593.05	       1552.90	          2.59
10/30	DRREDDY	            EQ	       2594.30	       2532.95	          2.42

10/31	TECHM	            EQ	        743.90	        685.10	          8.58
10/31	IBULHSGFIN	            EQ	        834.60	        769.15	          8.51
10/31	UPL	            EQ	        674.35	        636.80	           5.9
10/31	HDFC	            EQ	       1769.25	       1671.90	          5.82
10/31	HCLTECH	            EQ	       1055.60	       1004.85	          5.05

11/01	YESBANK	            EQ	        204.05	        188.10	          8.48
11/01	HINDALCO	            EQ	        231.25	        220.40	          4.92
11/01	AXISBANK	            EQ	        602.15	        582.40	          3.39
11/01	UPL	            EQ	        695.90	        674.35	           3.2
11/01	BPCL	            EQ	        283.45	        275.10	          3.04

11/02	BPCL	            EQ	        302.35	        283.45	          6.67
11/02	MARUTI	            EQ	       7135.45	       6711.75	          6.31
11/02	VEDL	            EQ	        225.90	        212.80	          6.16
11/02	TATAMOTORS	            EQ	        190.30	        179.45	          6.05
11/02	INDUSINDBK	            EQ	       1541.80	       1463.95	          5.32

11/05	SBIN	            EQ	        294.95	        285.35	          3.36
11/05	AXISBANK	            EQ	        624.40	        610.65	          2.25
11/05	UPL	            EQ	        724.30	        711.45	          1.81
11/05	WIPRO	            EQ	        324.10	        318.40	          1.79
11/05	HCLTECH	            EQ	       1020.75	       1004.60	          1.61

11/06	ZEEL	            EQ	        448.20	        438.35	          2.25
11/06	TCS	            EQ	       1932.70	       1890.85	          2.21
11/06	YESBANK	            EQ	        214.45	        210.10	          2.07
11/06	TATAMOTORS	            EQ	        193.25	        189.80	          1.82
11/06	SUNPHARMA	            EQ	        579.35	        571.60	          1.36

11/07	M&M	            EQ	        792.90	        778.40	          1.86
11/07	HINDPETRO	            EQ	        229.60	        226.30	          1.46
11/07	INFY	            EQ	        675.50	        666.45	          1.36
11/07	BPCL	            EQ	        288.75	        285.10	          1.28
11/07	IOC	            EQ	        138.95	        137.35	          1.16

11/09	YESBANK	            EQ	        227.90	        215.95	          5.53
11/09	HINDPETRO	            EQ	        241.30	        229.60	           5.1
11/09	IBULHSGFIN	            EQ	        862.15	        831.90	          3.64
11/09	ASIANPAINT	            EQ	       1295.60	       1250.95	          3.57
11/09	ADANIPORTS	            EQ	        337.60	        326.20	          3.49

11/12	TITAN	            EQ	        894.75	        847.65	          5.56
11/12	TECHM	            EQ	        724.55	        707.20	          2.45
11/12	TATASTEEL	            EQ	        582.85	        572.20	          1.86
11/12	KOTAKBANK	            EQ	       1153.70	       1135.55	           1.6
11/12	CIPLA	            EQ	        531.85	        526.95	           .93

11/13	EICHERMOT	            EQ	      23241.85	      21933.55	          5.96
11/13	IOC	            EQ	        141.40	        135.05	           4.7
11/13	BPCL	            EQ	        303.15	        291.20	           4.1
11/13	HINDPETRO	            EQ	        232.80	        225.05	          3.44
11/13	ULTRACEMCO	            EQ	       3829.90	       3726.85	          2.77

11/14	HINDPETRO	            EQ	        243.70	        232.80	          4.68
11/14	BPCL	            EQ	        315.95	        303.15	          4.22
11/14	UPL	            EQ	        760.25	        736.55	          3.22
11/14	MARUTI	            EQ	       7369.05	       7150.45	          3.06
11/14	ONGC	            EQ	        161.00	        156.50	          2.88

11/15	ADANIPORTS	            EQ	        346.20	        332.00	          4.28
11/15	TITAN	            EQ	        920.80	        892.20	          3.21
11/15	EICHERMOT	            EQ	      23945.35	      23240.10	          3.03
11/15	KOTAKBANK	            EQ	       1162.25	       1129.90	          2.86
11/15	HEROMOTOCO	            EQ	       2922.15	       2847.55	          2.62

11/16	BHARTIARTL	            EQ	        332.75	        304.40	          9.31
11/16	HCLTECH	            EQ	       1022.20	        988.75	          3.38
11/16	EICHERMOT	            EQ	      24735.00	      23945.35	           3.3
11/16	GRASIM	            EQ	        831.90	        808.70	          2.87
11/16	RELIANCE	            EQ	       1127.40	       1096.85	          2.79

11/19	YESBANK	            EQ	        204.80	        191.00	          7.23
11/19	ITC	            EQ	        284.50	        276.55	          2.87
11/19	TATAMOTORS	            EQ	        184.60	        179.90	          2.61
11/19	INDUSINDBK	            EQ	       1537.95	       1501.10	          2.45
11/19	SUNPHARMA	            EQ	        531.55	        519.75	          2.27

11/20	GAIL	            EQ	        344.05	        334.70	          2.79
11/20	ADANIPORTS	            EQ	        355.25	        350.55	          1.34
11/20	INDUSINDBK	            EQ	       1557.85	       1537.95	          1.29
11/20	BAJFINANCE	            EQ	       2380.10	       2360.95	           .81
11/20	ZEEL	            EQ	        448.10	        446.80	           .29

11/21	DRREDDY	            EQ	       2601.80	       2443.15	          6.49
11/21	YESBANK	            EQ	        198.15	        192.10	          3.15
11/21	GRASIM	            EQ	        863.75	        837.95	          3.08
11/21	BAJAJFINSV	            EQ	       5851.95	       5688.55	          2.87
11/21	UPL	            EQ	        779.25	        759.20	          2.64

11/22	ZEEL	            EQ	        458.85	        438.70	          4.59
11/22	ADANIPORTS	            EQ	        368.15	        361.25	          1.91
11/22	LT	            EQ	       1410.15	       1402.10	           .57
11/22	ONGC	            EQ	        152.25	        151.75	           .33
11/22	HDFC	            EQ	       1873.70	       1868.15	            .3

11/26	HEROMOTOCO	            EQ	       3076.00	       2917.75	          5.42
11/26	HINDUNILVR	            EQ	       1744.00	       1675.10	          4.11
11/26	WIPRO	            EQ	        318.45	        307.10	           3.7
11/26	AXISBANK	            EQ	        631.05	        614.55	          2.68
11/26	ASIANPAINT	            EQ	       1349.50	       1314.40	          2.67

11/27	INFY	            EQ	        638.90	        621.45	          2.81
11/27	BPCL	            EQ	        335.50	        327.35	          2.49
11/27	BAJAJFINSV	            EQ	       5880.35	       5737.90	          2.48
11/27	TCS	            EQ	       1890.25	       1846.10	          2.39
11/27	HCLTECH	            EQ	       1023.15	       1000.50	          2.26

11/28	TCS	            EQ	       1983.90	       1890.25	          4.95
11/28	INFY	            EQ	        666.40	        638.90	           4.3
11/28	ZEEL	            EQ	        477.45	        459.30	          3.95
11/28	RELIANCE	            EQ	       1152.65	       1128.20	          2.17
11/28	HCLTECH	            EQ	       1043.10	       1023.15	          1.95

11/29	BAJAJ-AUTO	            EQ	       2724.00	       2603.90	          4.61
11/29	KOTAKBANK	            EQ	       1212.95	       1160.25	          4.54
11/29	HINDALCO	            EQ	        224.50	        216.05	          3.91
11/29	BAJFINANCE	            EQ	       2506.50	       2412.55	          3.89
11/29	M&M	            EQ	        773.20	        748.40	          3.31

11/30	YESBANK	            EQ	        169.80	        160.45	          5.83
11/30	WIPRO	            EQ	        324.65	        314.90	           3.1
11/30	CIPLA	            EQ	        540.85	        524.70	          3.08
11/30	TECHM	            EQ	        705.95	        687.50	          2.68
11/30	DRREDDY	            EQ	       2722.20	       2655.30	          2.52

12/03	IBULHSGFIN	            EQ	        783.05	        715.60	          9.43
12/03	YESBANK	            EQ	        178.00	        169.80	          4.83
12/03	HINDUNILVR	            EQ	       1825.60	       1754.00	          4.08
12/03	GAIL	            EQ	        355.65	        343.05	          3.67
12/03	VEDL	            EQ	        202.95	        195.85	          3.63

12/04	BPCL	            EQ	        333.70	        323.95	          3.01
12/04	IBULHSGFIN	            EQ	        803.70	        783.05	          2.64
12/04	UPL	            EQ	        751.45	        732.60	          2.57
12/04	ONGC	            EQ	        146.15	        142.50	          2.56
12/04	INFY	            EQ	        685.25	        670.35	          2.22

12/05	HINDUNILVR	            EQ	       1848.10	       1807.65	          2.24
12/05	HDFC	            EQ	       1973.30	       1939.45	          1.75
12/05	HCLTECH	            EQ	       1051.05	       1036.25	          1.43
12/05	INFRATEL	            EQ	        258.35	        254.85	          1.37
12/05	HDFCBANK	            EQ	       2099.20	       2085.55	           .65

12/06	SUNPHARMA	            EQ	        420.15	        412.95	          1.74
12/06	JSWSTEEL	            EQ	        305.40	        304.35	           .34
12/06	POWERGRID	            EQ	        183.50	        183.50	             0
12/06	NaN	 Top Five Nifty 50 Losers:	                       NaN	                       NaN	                       NaN	                       NaN
12/06	SYMBOL	      SERIES	 CLOSE PRICE	  PREV.CLOSE	     %CHANGE

12/07	KOTAKBANK	            EQ	       1279.65	       1180.25	          8.42
12/07	BAJAJFINSV	            EQ	       5849.90	       5667.50	          3.22
12/07	ADANIPORTS	            EQ	        373.45	        363.95	          2.61
12/07	BAJAJ-AUTO	            EQ	       2786.20	       2718.10	          2.51
12/07	BAJFINANCE	            EQ	       2486.35	       2432.40	          2.22

12/10	IOC	            EQ	        134.35	        129.75	          3.55
12/10	BPCL	            EQ	        330.25	        325.40	          1.49
12/10	HINDPETRO	            EQ	        226.70	        224.80	           .85
12/10	COALINDIA	            EQ	        238.15	        236.75	           .59
12/10	MARUTI	            EQ	       7350.50	       7313.95	            .5

12/11	YESBANK	            EQ	        177.85	        165.65	          7.36
12/11	SUNPHARMA	            EQ	        422.30	        399.00	          5.84
12/11	ASIANPAINT	            EQ	       1323.60	       1274.20	          3.88
12/11	TITAN	            EQ	        933.15	        907.10	          2.87
12/11	ZEEL	            EQ	        478.90	        466.15	          2.74

12/12	HEROMOTOCO	            EQ	       3258.65	       3038.80	          7.23
12/12	IBULHSGFIN	            EQ	        734.30	        692.90	          5.97
12/12	UPL	            EQ	        790.05	        747.95	          5.63
12/12	BHARTIARTL	            EQ	        305.55	        290.25	          5.27
12/12	ADANIPORTS	            EQ	        374.45	        355.75	          5.26

12/13	IBULHSGFIN	            EQ	        775.70	        734.30	          5.64
12/13	BAJAJFINSV	            EQ	       6159.40	       5989.00	          2.85
12/13	INFY	            EQ	        697.75	        678.50	          2.84
12/13	HINDPETRO	            EQ	        225.15	        219.30	          2.67
12/13	MARUTI	            EQ	       7670.50	       7471.85	          2.66

12/14	BHARTIARTL	            EQ	        319.25	        303.10	          5.33
12/14	YESBANK	            EQ	        180.35	        174.70	          3.23
12/14	BPCL	            EQ	        345.30	        334.90	          3.11
12/14	IOC	            EQ	        141.25	        137.40	           2.8
12/14	ONGC	            EQ	        146.85	        143.30	          2.48

12/17	TATAMOTORS	            EQ	        173.95	        166.95	          4.19
12/17	POWERGRID	            EQ	        192.55	        185.70	          3.69
12/17	HDFC	            EQ	       1960.35	       1904.10	          2.95
12/17	ZEEL	            EQ	        501.85	        489.45	          2.53
12/17	HINDALCO	            EQ	        225.45	        220.15	          2.41

12/18	SUNPHARMA	            EQ	        433.45	        420.95	          2.97
12/18	BAJFINANCE	            EQ	       2532.20	       2474.40	          2.34
12/18	POWERGRID	            EQ	        196.35	        192.55	          1.97
12/18	M&M	            EQ	        770.95	        756.35	          1.93
12/18	JSWSTEEL	            EQ	        305.45	        299.85	          1.87

12/19	IBULHSGFIN	            EQ	        839.65	        776.60	          8.12
12/19	BAJAJFINSV	            EQ	       6405.45	       6152.65	          4.11
12/19	AXISBANK	            EQ	        641.65	        619.40	          3.59
12/19	INFRATEL	            EQ	        263.45	        254.60	          3.48
12/19	ASIANPAINT	            EQ	       1400.25	       1355.70	          3.29

12/20	YESBANK	            EQ	        186.75	        179.55	          4.01
12/20	HINDPETRO	            EQ	        244.45	        236.15	          3.51
12/20	BPCL	            EQ	        371.10	        361.75	          2.58
12/20	UPL	            EQ	        770.00	        755.70	          1.89
12/20	ASIANPAINT	            EQ	       1425.80	       1400.25	          1.82

12/21	HINDPETRO	            EQ	        250.05	        244.45	          2.29
12/21	BPCL	            EQ	        374.65	        371.10	           .96
12/21	COALINDIA	            EQ	        252.75	        250.55	           .88
12/21	NTPC	            EQ	        150.55	        149.30	           .84
12/21	HINDALCO	            EQ	        224.00	        223.90	           .04

12/24	WIPRO	            EQ	        326.70	        322.10	          1.43
12/24	TCS	            EQ	       1918.50	       1895.80	           1.2
12/24	INFRATEL	            EQ	        262.55	        259.85	          1.04
12/24	M&M	            EQ	        788.65	        781.15	           .96
12/24	KOTAKBANK	            EQ	       1238.50	       1227.20	           .92

12/26	ADANIPORTS	            EQ	        376.55	        361.10	          4.28
12/26	ZEEL	            EQ	        455.05	        436.75	          4.19
12/26	BHARTIARTL	            EQ	        320.45	        309.10	          3.67
12/26	BAJAJFINSV	            EQ	       6439.05	       6274.45	          2.62
12/26	ULTRACEMCO	            EQ	       3996.10	       3917.15	          2.02

12/27	TECHM	            EQ	        708.90	        693.55	          2.21
12/27	ONGC	            EQ	        149.70	        146.60	          2.11
12/27	ZEEL	            EQ	        464.40	        455.05	          2.05
12/27	RELIANCE	            EQ	       1120.20	       1098.35	          1.99
12/27	INFY	            EQ	        656.80	        644.05	          1.98

12/28	TITAN	            EQ	        922.70	        887.65	          3.95
12/28	SUNPHARMA	            EQ	        425.20	        411.15	          3.42
12/28	IOC	            EQ	        138.20	        133.90	          3.21
12/28	ZEEL	            EQ	        474.45	        464.40	          2.16
12/28	YESBANK	            EQ	        181.45	        178.10	          1.88

12/31	JSWSTEEL	            EQ	        306.75	        298.10	           2.9
12/31	TATASTEEL	            EQ	        521.05	        512.85	           1.6
12/31	VEDL	            EQ	        202.20	        199.40	           1.4
12/31	TECHM	            EQ	        723.15	        714.00	          1.28
12/31	SUNPHARMA	            EQ	        430.50	        425.20	          1.25
