
03/14	AMBUJACEM	            EQ	        243.90	        238.80	          2.14
03/14	YESBANK	            EQ	        318.85	        312.80	          1.93
03/14	BAJFINANCE	            EQ	       1710.10	       1680.70	          1.75
03/14	ULTRACEMCO	            EQ	       4230.25	       4170.00	          1.44

03/15	ASIANPAINT	            EQ	       1160.80	       1137.00	          2.09
03/15	BAJFINANCE	            EQ	       1726.25	       1710.10	           .94
03/15	M&M	            EQ	        734.85	        728.20	           .91
03/15	IBULHSGFIN	            EQ	       1237.95	       1226.90	            .9
03/15	HDFCBANK	            EQ	       1880.80	       1864.50	           .87

03/16	HCLTECH	            EQ	        967.60	        959.15	           .88
03/16	M&M	            EQ	        740.75	        734.85	            .8
03/16	WIPRO	            EQ	        295.75	        293.40	            .8
03/16	TECHM	            EQ	        634.70	        631.85	           .45
03/16	YESBANK	            EQ	        312.90	        311.85	           .34

03/19	NTPC	            EQ	        167.00	        164.85	           1.3
03/19	MARUTI	            EQ	       8773.50	       8676.55	          1.12
03/19	POWERGRID	            EQ	        194.20	        192.25	          1.01
03/19	LT	            EQ	       1279.55	       1269.30	           .81
03/19	HINDUNILVR	            EQ	       1309.40	       1299.15	           .79

03/20	INFRATEL	            EQ	        341.90	        325.35	          5.09
03/20	TECHM	            EQ	        633.40	        609.90	          3.85
03/20	EICHERMOT	            EQ	      28360.45	      27403.05	          3.49
03/20	TATASTEEL	            EQ	        593.00	        574.95	          3.14
03/20	SUNPHARMA	            EQ	        508.75	        497.65	          2.23

03/21	BHARTIARTL	            EQ	        418.20	        400.40	          4.45
03/21	BAJFINANCE	            EQ	       1704.55	       1657.30	          2.85
03/21	NTPC	            EQ	        170.35	        166.40	          2.37
03/21	ULTRACEMCO	            EQ	       3999.20	       3936.80	          1.59
03/21	IBULHSGFIN	            EQ	       1216.40	       1198.30	          1.51

03/22	VEDL	            EQ	        291.80	        285.75	          2.12
03/22	ONGC	            EQ	        178.90	        175.55	          1.91
03/22	TATAMOTORS	            EQ	        338.20	        333.85	           1.3
03/22	RELIANCE	            EQ	        908.15	        896.90	          1.25
03/22	INDUSINDBK	            EQ	       1753.10	       1731.45	          1.25

03/23	HCLTECH	            EQ	        957.40	        930.55	          2.89
03/23	INFRATEL	            EQ	        342.50	        335.20	          2.18
03/23	ZEEL	            EQ	        569.40	        559.20	          1.82
03/23	ADANIPORTS	            EQ	        362.40	        358.25	          1.16
03/23	POWERGRID	            EQ	        194.25	        192.70	            .8

03/26	YESBANK	            EQ	        303.35	        286.65	          5.83
03/26	SBIN	            EQ	        246.50	        234.80	          4.98
03/26	BAJFINANCE	            EQ	       1741.60	       1685.30	          3.34
03/26	ZEEL	            EQ	        585.85	        569.40	          2.89
03/26	HDFCBANK	            EQ	       1893.45	       1841.55	          2.82

03/27	IOC	            EQ	        174.85	        167.20	          4.58
03/27	HINDPETRO	            EQ	        346.90	        333.30	          4.08
03/27	HINDALCO	            EQ	        218.50	        210.55	          3.78
03/27	IBULHSGFIN	            EQ	       1245.75	       1204.55	          3.42
03/27	SBIN	            EQ	        254.35	        246.50	          3.18

03/28	TECHM	            EQ	        638.70	        621.65	          2.74
03/28	WIPRO	            EQ	        281.15	        274.05	          2.59
03/28	COALINDIA	            EQ	        283.30	        276.20	          2.57
03/28	GAIL	            EQ	        328.55	        320.95	          2.37
03/28	HEROMOTOCO	            EQ	       3542.80	       3464.70	          2.25

04/02	CIPLA	            EQ	        576.25	        545.45	          5.65
04/02	LUPIN	            EQ	        777.10	        735.85	          5.61
04/02	KOTAKBANK	            EQ	       1096.55	       1047.80	          4.65
04/02	ADANIPORTS	            EQ	        369.70	        354.10	          4.41
04/02	TATAMOTORS	            EQ	        339.15	        326.85	          3.76

04/03	IBULHSGFIN	            EQ	       1299.20	       1243.85	          4.45
04/03	ICICIBANK	            EQ	        270.05	        261.85	          3.13
04/03	M&M	            EQ	        770.10	        748.05	          2.95
04/03	HINDPETRO	            EQ	        353.75	        344.50	          2.69
04/03	YESBANK	            EQ	        313.10	        306.25	          2.24

04/04	TATAMOTORS	            EQ	        355.60	        343.10	          3.64
04/04	EICHERMOT	            EQ	      28934.25	      27990.00	          3.37
04/04	BAJFINANCE	            EQ	       1850.20	       1834.25	           .87
04/04	HINDUNILVR	            EQ	       1357.45	       1348.40	           .67
04/04	HEROMOTOCO	            EQ	       3667.15	       3644.95	           .61

04/05	HINDALCO	            EQ	        214.15	        200.80	          6.65
04/05	VEDL	            EQ	        289.90	        274.30	          5.69
04/05	SBIN	            EQ	        259.30	        247.30	          4.85
04/05	BAJAJFINSV	            EQ	       5443.85	       5228.55	          4.12
04/05	IBULHSGFIN	            EQ	       1340.15	       1291.80	          3.74

04/06	LUPIN	            EQ	        809.05	        786.70	          2.84
04/06	BPCL	            EQ	        433.95	        422.45	          2.72
04/06	TITAN	            EQ	        940.30	        920.05	           2.2
04/06	HINDPETRO	            EQ	        353.95	        348.35	          1.61
04/06	TATASTEEL	            EQ	        587.20	        580.45	          1.16

04/09	AXISBANK	            EQ	        519.30	        500.20	          3.82
04/09	BPCL	            EQ	        450.35	        433.95	          3.78
04/09	HINDPETRO	            EQ	        366.80	        353.95	          3.63
04/09	HINDALCO	            EQ	        221.35	        214.00	          3.43
04/09	IOC	            EQ	        179.80	        174.25	          3.19

04/10	AXISBANK	            EQ	        546.15	        519.30	          5.17
04/10	HINDALCO	            EQ	        230.00	        221.35	          3.91
04/10	ICICIBANK	            EQ	        288.80	        280.85	          2.83
04/10	TATASTEEL	            EQ	        601.90	        586.15	          2.69
04/10	ADANIPORTS	            EQ	        387.25	        377.35	          2.62

04/11	VEDL	            EQ	        296.80	        284.10	          4.47
04/11	TCS	            EQ	       3014.15	       2937.60	          2.61
04/11	SUNPHARMA	            EQ	        521.45	        508.25	           2.6
04/11	EICHERMOT	            EQ	      30685.10	      29972.05	          2.38
04/11	HCLTECH	            EQ	        967.30	        948.45	          1.99

04/12	HCLTECH	            EQ	       1010.05	        967.30	          4.42
04/12	TCS	            EQ	       3139.25	       3014.15	          4.15
04/12	INFY	            EQ	       1162.60	       1124.25	          3.41
04/12	TECHM	            EQ	        652.80	        633.35	          3.07
04/12	AXISBANK	            EQ	        548.75	        539.80	          1.66

04/13	ADANIPORTS	            EQ	        383.10	        372.35	          2.89
04/13	TECHM	            EQ	        671.55	        652.80	          2.87
04/13	WIPRO	            EQ	        294.15	        286.85	          2.54
04/13	IBULHSGFIN	            EQ	       1344.80	       1315.35	          2.24
04/13	HINDALCO	            EQ	        237.80	        232.60	          2.24

04/16	CIPLA	            EQ	        584.95	        555.50	           5.3
04/16	GRASIM	            EQ	       1092.40	       1063.65	           2.7
04/16	UPL	            EQ	        763.60	        747.10	          2.21
04/16	HEROMOTOCO	            EQ	       3803.15	       3725.90	          2.07
04/16	IBULHSGFIN	            EQ	       1372.15	       1344.80	          2.03

04/17	POWERGRID	            EQ	        204.90	        199.20	          2.86
04/17	HINDUNILVR	            EQ	       1445.55	       1419.50	          1.84
04/17	TITAN	            EQ	        997.60	        980.50	          1.74
04/17	NTPC	            EQ	        176.95	        174.10	          1.64
04/17	ICICIBANK	            EQ	        291.75	        287.60	          1.44

04/18	ITC	            EQ	        275.35	        267.60	           2.9
04/18	WIPRO	            EQ	        292.65	        284.75	          2.77
04/18	ZEEL	            EQ	        588.25	        575.45	          2.22
04/18	ULTRACEMCO	            EQ	       3992.35	       3917.25	          1.92
04/18	GAIL	            EQ	        330.65	        325.65	          1.54

04/19	HINDALCO	            EQ	        264.75	        242.80	          9.04
04/19	VEDL	            EQ	        311.70	        291.10	          7.08
04/19	TATASTEEL	            EQ	        621.95	        601.60	          3.38
04/19	YESBANK	            EQ	        318.50	        309.55	          2.89
04/19	BHARTIARTL	            EQ	        395.35	        384.25	          2.89

04/20	TCS	            EQ	       3402.45	       3191.15	          6.62
04/20	TECHM	            EQ	        700.50	        665.20	          5.31
